Title,Company,Location,Salary,Source,Category,Salary_Numeric,City
Backend Developer,"ATMAR Consulting, Lahore, Pakistan","ATMAR Consulting,",N/A,Rozee,Backend Developer,,"ATMAR Consulting,"
Mid Level Backend Developer,"Skilled Pakis, Karachi, Pakistan","Skilled Pakis,",N/A,Rozee,Backend Developer,,"Skilled Pakis,"
Full Stack Developer,"Oxygen Soft, Lahore, Pakistan","Oxygen Soft,",N/A,Rozee,Backend Developer,,"Oxygen Soft,"
Web and Mobile Developer,"Zeofix, Lahore, Pakistan","Zeofix,",N/A,Rozee,Backend Developer,,"Zeofix,"
Full-Stack Developer,"Sedeo, All Cities, Pakistan","Sedeo,",N/A,Rozee,Backend Developer,,"Sedeo,"
AI / Backend Developer (RAG-Based Document Generation System) - Trainee,"Naseeb Enterprise Inc, Rawalpindi, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Backend Developer,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Deputy Manager - Backend Developer,"EFU Life Assurance Ltd., Lahore, Pakistan","EFU Life Assurance Ltd.,",N/A,Rozee,Backend Developer,,"EFU Life Assurance Ltd.,"
Senior Full Stack Developer,"Sostudy, All Cities, Pakistan","Sostudy,",N/A,Rozee,Backend Developer,,"Sostudy,"
Senior Golang Backend Engineer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Senior Backend Engineer (PHPSymfony),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Senior Backend Engineer (Laravel),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Backend Engineer (Java),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Software Engineer II - Backend | NextGen Engineering,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Senior Software Engineer I - Backend,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Senior backend developer,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Backend Engineer,"Raylers, All Cities, Pakistan","Raylers,",N/A,Rozee,Backend Developer,,"Raylers,"
Senior Software Engineer I - Backend,"Naseeb Enterprise Inc, Karachi, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
Backend Node.JS Developer,Vizteck Solutions,Rawalpindi,N/A,Indeed,Backend Developer,,Rawalpindi
Backend Developer,One Network,Rawalpindi,N/A,Indeed,Backend Developer,,Rawalpindi
Junior Backend Developer,66Loop Technologies,Lahore,N/A,Indeed,Backend Developer,,Lahore
Junior Python Backend Developer,Funprime technologies Pvt Ltd,Islamabad,N/A,Indeed,Backend Developer,,Islamabad
Backend Developer/Node.js Developer,Mob Inspire (Pvt) Ltd,Rawalpindi,N/A,Indeed,Backend Developer,,Rawalpindi
Backend Developer,Quanrio LLP,Karachi,N/A,Indeed,Backend Developer,,Karachi
Senior Backend / Full-Stack Developer (Laravel),Appsocode,Lahore,N/A,Indeed,Backend Developer,,Lahore
,,,N/A,Indeed,Backend Developer,,
Backend Developer (TypeScript & Python),Vizzwebsolutions Pvt Ltd,Islamabad,N/A,Indeed,Backend Developer,,Islamabad
Backend Developer,PI Pakistan (Pvt.) Ltd,Karachi Defence Housing Society,N/A,Indeed,Backend Developer,,Karachi Defence Housing Society
.NET Developer,NorthBay Solutions,Islamabad,N/A,Indeed,Backend Developer,,Islamabad
Jr.BackEnd Developer,Cloudex Pakistan,Karachi,N/A,Indeed,Backend Developer,,Karachi
Senior Python Developer,Appsocode,Lahore,N/A,Indeed,Backend Developer,,Lahore
Backend Developer Intern,Inventive Research Group,Lahore,N/A,Indeed,Backend Developer,,Lahore
Senior Backend Developer,SMART Computing SMC Pvt Ltd,Lahore,N/A,Indeed,Backend Developer,,Lahore
Python Developer,Astute Softwares,Lahore Johar Town,N/A,Indeed,Backend Developer,,Lahore Johar Town
,,,N/A,LinkedIn,Backend Developer,,
Full Stack Django Developer,EvolveDash Inc.,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Backend Developer,,"Lahore, Punjab, Pakistan"
Back-End/Infra Engineer (Kubernetes / Node.js),Deel,Pakistan,N/A,LinkedIn,Backend Developer,,Pakistan
[Hiring] Junior Full-Stack Developer (AI & Automation focus),Eveonix,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Backend Developer,,"Lahore, Punjab, Pakistan"
Bank Data Analyst,"Karachi Garments, Nawabshah, Pakistan","Karachi Garments,",N/A,Rozee,Data Analyst,,"Karachi Garments,"
Data Analyst,"Pakistan Revenue Automation (Pvt) Ltd, Lahore, Pakistan","Pakistan Revenue Automation (Pvt) Ltd,",N/A,Rozee,Data Analyst,,Pakistan Revenue Automation
Data Entry Research Analyst (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst,,"Naseeb Enterprise Inc,"
Finance Data Research Analyst (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst,,"Naseeb Enterprise Inc,"
Data Analyst,"Palmpay Pvt Ltd, Lahore, Pakistan","Palmpay Pvt Ltd,",N/A,Rozee,Data Analyst,,"Palmpay Pvt Ltd,"
General Office Work/Data Analyst,"Nancy International Pvt Ltd, Sialkot","Nancy International Pvt Ltd,",N/A,Rozee,Data Analyst,,"Nancy International Pvt Ltd,"
Market Data Analyst,"TU PLASTIC INDUSTRY PVT. LTD, Lahore, Pakistan","TU PLASTIC INDUSTRY PVT. LTD,",N/A,Rozee,Data Analyst,,"TU PLASTIC INDUSTRY PVT. LTD,"
Data Analyst II,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst,,"Naseeb Enterprise Inc,"
Loans Underwriting Analyst,"U Microfinance Bank, Multiple Cities, Pakistan","U Microfinance Bank,",N/A,Rozee,Data Analyst,,"U Microfinance Bank,"
Digital Analyst Lead,"Lahore University of Management Sciences,","Lahore University of Management Sciences,",N/A,Rozee,Data Analyst,,"Lahore University of Management Sciences,"
Business Analyst,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst,,"Naseeb Enterprise Inc,"
Data Analyst I,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst,,"Naseeb Enterprise Inc,"
"System Analyst - SAP ABAP, HCM","Del Monte Fresh Produce, Islamabad, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst,,"Del Monte Fresh Produce,"
"Senior Analyst, IT Applications Oracle EBS","Del Monte Fresh Produce, All Cities, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst,,"Del Monte Fresh Produce,"
Business Analyst / Operations Coordinator (Odoo),"Future Brands Group, All Cities, Pakistan","Future Brands Group,",N/A,Rozee,Data Analyst,,"Future Brands Group,"
EDI Business Solution Analyst,"Del Monte Fresh Produce, All Cities, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst,,"Del Monte Fresh Produce,"
Data Analyst,Taraz Technologies Pvt. Ltd.,Rawalpindi,N/A,Indeed,Data Analyst,,Rawalpindi
Data Analyst,CureMD Healthcare,Lahore,N/A,Indeed,Data Analyst,,Lahore
DATA ANALYST,Dignosco,Lahore,N/A,Indeed,Data Analyst,,Lahore
Data Analyst (Mobile Games),UserWise Services,Lahore,N/A,Indeed,Data Analyst,,Lahore
Business Analyst (Intern),Analytiverse,Lahore,N/A,Indeed,Data Analyst,,Lahore
Data Analyst,Metal,Lahore,N/A,Indeed,Data Analyst,,Lahore
Data Conversion Analyst,Contour Software,Lahore,N/A,Indeed,Data Analyst,,Lahore
Junior Data Analyst,Right Angle Consultant,Karachi,N/A,Indeed,Data Analyst,,Karachi
Data Analyst I,Careem,Lahore,N/A,Indeed,Data Analyst,,Lahore
Accounting Analyst - Remote,"World Business Lenders, LLC",Lahore,N/A,Indeed,Data Analyst,,Lahore
QC Analyst,Star Laboratories (Pvt.) Ltd.,Lahore,N/A,Indeed,Data Analyst,,Lahore
Business Analyst Specialist,Ace Union,Lahore,N/A,Indeed,Data Analyst,,Lahore
Data Analyst,Capgemini,Hyderabad,N/A,Indeed,Data Analyst,,Hyderabad
,,,N/A,Indeed,Data Analyst,,
Data Engineer,SOUM,Pakistan,N/A,Indeed,Data Analyst,,Pakistan
Data Analytics Trainer,Fortray Global Services Ltd,Islamabad,N/A,Indeed,Data Analyst,,Islamabad
,,,N/A,LinkedIn,Data Analyst,,
Panel Administrator Specialist,IQVIA,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Analyst,,"Karāchi, Sindh, Pakistan"
Web Scraper,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Analyst,,"Karāchi, Sindh, Pakistan"
Technical Lead (100% Remote),Tether.io,Pakistan,N/A,LinkedIn,Data Analyst,,Pakistan
Lead Data Scientist,"Naseeb Enterprise Inc, Islamabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Scientist,,"Naseeb Enterprise Inc,"
Data Scientist,"Naseeb Enterprise Inc, Hyderabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Scientist,,"Naseeb Enterprise Inc,"
Data Scientist,Capgemini,Hyderabad,N/A,Indeed,Data Scientist,,Hyderabad
Senior Data Scientist,SOUM,Pakistan,N/A,Indeed,Data Scientist,,Pakistan
Expert Data Scientist,Datamatics Technologies,Islamabad,N/A,Indeed,Data Scientist,,Islamabad
Data Scientist – Dynamic Pricing & Offer Optimization,TechBiz Global GmbH,Islamabad,N/A,Indeed,Data Scientist,,Islamabad
Data scientist,Tata Consultancy Services,Hyderabad,N/A,Indeed,Data Scientist,,Hyderabad
Data Engineer,SOUM,Pakistan,N/A,Indeed,Data Scientist,,Pakistan
"Staff/Senior Data Scientist - Python/R, SQL, EDA",10Pearls,Islamabad,N/A,Indeed,Data Scientist,,Islamabad
Data Scientist (Quantitative research),Franklin Templeton Investments,Hyderabad,N/A,Indeed,Data Scientist,,Hyderabad
Customer Education Specialist Molecular Imaging and XP,Siemens Healthineers,Lahore,N/A,Indeed,Data Scientist,,Lahore
Data Scientist - Karachi Based (Retail Industry),Newly Launched,Karachi,N/A,Indeed,Data Scientist,,Karachi
Responsible AI Trainee,CureMD Healthcare,Lahore,N/A,Indeed,Data Scientist,,Lahore
Data Engineer,Aricrypta,Islamabad,N/A,Indeed,Data Scientist,,Islamabad
Data Science & Engineering Lead,SOUM,Pakistan,N/A,Indeed,Data Scientist,,Pakistan
,,,N/A,Indeed,Data Scientist,,
Senior - Data Scientist,NorthBay Solutions,Lahore,N/A,Indeed,Data Scientist,,Lahore
Sr. Data scientist,P99soft,Hyderabad,N/A,Indeed,Data Scientist,,Hyderabad
,,,N/A,LinkedIn,Data Scientist,,
Expert Data Scientist,Bionic Talent,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Scientist,,"Karāchi, Sindh, Pakistan"
Data Engineer and AI Specialist,Sithafal Technologies,"Hyderabad, Sindh, Pakistan",N/A,LinkedIn,Data Scientist,,"Hyderabad, Sindh, Pakistan"
Web Scraper,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Scientist,,"Karāchi, Sindh, Pakistan"
Artificial Intelligence & Machine Learning Engineer – AI-ML,ActiveKey Solutions,Lahore,N/A,Indeed,Artificial Intelligence,,Lahore
"AI Engineering Intern (Gen AI, Agents & Formal Verification) - Paid",Skylabs AI,Islamabad,N/A,Indeed,Artificial Intelligence,,Islamabad
AI/ML Intern,FiveRivers Technologies,Lahore,N/A,Indeed,Artificial Intelligence,,Lahore
Artificial Intelligence Engineer,Darosoft,Karachi,N/A,Indeed,Artificial Intelligence,,Karachi
AI Engineer Intern,Cloud Z Technologies,Karachi Gulistan-E-Jouhar (Kp-2023),N/A,Indeed,Artificial Intelligence,,Karachi Gulistan-E-Jouhar
AI Researcher,Cubitrek Private Limited,Karachi Gulshan-E-Iqbal,N/A,Indeed,Artificial Intelligence,,Karachi Gulshan-E-Iqbal
Responsible AI Trainee,CureMD Healthcare,Lahore,N/A,Indeed,Artificial Intelligence,,Lahore
Junior Software Developer (Fresh Graduate – AI / ML),Aitomation,Lahore,N/A,Indeed,Artificial Intelligence,,Lahore
Artificial Intelligence Engineer,Impressico Business Solutions,Hyderabad,N/A,Indeed,Artificial Intelligence,,Hyderabad
React Native Developer (Remote),PanaceaLogics,Rawalpindi,N/A,Indeed,Artificial Intelligence,,Rawalpindi
AI Engineer,Solvefy,Lahore Johar Town,N/A,Indeed,Artificial Intelligence,,Lahore Johar Town
AI Expert,Al-Faisal Advertisers & Business promoters,Mardan,N/A,Indeed,Artificial Intelligence,,Mardan
Pahari-Potwari Linguistic Projects (Remote) - Sigma AI,Sigma Group,Rawalpindi,N/A,Indeed,Artificial Intelligence,,Rawalpindi
,,,N/A,Indeed,Artificial Intelligence,,
AI/ML Intern_02,FiveRivers Technologies,Lahore,N/A,Indeed,Artificial Intelligence,,Lahore
Ai Cloud Trainer,Enablers,Lahore Johar Town,N/A,Indeed,Artificial Intelligence,,Lahore Johar Town
AI/ML Engineer,Astro Sirens LLC,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
"AI Engineer – LLM & Computer Vision (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Karāchi, Sindh, Pakistan"
Software Engineer - AI/ML,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Sales Development Representative (SDR),RepairDesk,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Software AI Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
AI Engineer,Veyn AI,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Lead Generation & Data Executive,Burq,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
AI ML Engineer,Flatgigs,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Senior AI/ML Engineer,Devsinc,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
AI/ML Engineer,TEKHQS,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Machine Learning Engineer / Data Scientist,Fusemachines,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Senior AI/ML Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Computer Vision Engineer (PyTorch/TensorRT),Flatgigs,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Senior Software Engineer (AI/ML),Devsinc,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
AI & Automation Training Lead,TriVA Global,"Gojra, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Gojra, Punjab, Pakistan"
Senior AI/Machine Learning Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
AI/ML Engineer,Hazen Technologies Inc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Senior Software Engineer (AI/ML),Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Data Science & Engineering Lead,Soum,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Data Scientist,Creative Chaos,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Senior AI/ML Engineer - AI Systems & Applied Intelligence,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Applied AI Engineer (Automation),Fusemachines,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
"Data Scientist, Tech",ibex,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Cloud Native/ SSE Python,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Senior Data Scientist,Astro Sirens LLC,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
AI-Assisted Software Developer,"LDP Logistics, Inc.","Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Karāchi, Sindh, Pakistan"
Artificial Intelligence &amp; Machine Learning Engineer &#8211; AI-ML,Activekey Solutions,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Junior Product Manager,Convo,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
AI Talent Community - Future Roles,CodeNinja Inc.,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Media Quality Evaluator (AI Training Data),Gramian Consulting,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
AI Engineer,Confiz,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Karachi Division, Sindh, Pakistan"
AI Training Specialist (Global Egocentric Video),Toloka Annotators,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Backend AI & Data Pipeline Engineer,Seeka Limited,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Front-end Developer,Cinari.ai,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Senior Software Engineer - Artificial Intelligence,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
AM Digital Transformation,Unilever,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Quality Associate,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Karāchi, Sindh, Pakistan"
Senior AI Agent Engineer,Beam AI,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Karāchi, Sindh, Pakistan"
AI Research Engineer - Pre training (100% Remote),Tether.io,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Mid-Level AI Engineer,The Plumtree Group Global,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Senior AI Engineer,Convo,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
AI Engineering Lead,Datamatics Technologies,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Expression of Interest - Future Opportunities at Thingtrax (Talent Pool),Thingtrax,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
"AI Engineering Intern (Gen AI, Agents & Formal Verification) - Paid",SkyLabs AI,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Senior Cloud Native Application Developer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Senior ML Engineer,Arbisoft,"Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Punjab, Pakistan"
"• AI Engineer (n8n, Go High Level, Vapi)",Fynora AI,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
AI Software Engineer (Agent Orchestrator),Novo AI,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Product Analyst - Hospitality Systems & Data Integrations,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Computer Vision Engineer,Motive,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
"Platform Engineer (Remote, Anywhere in Pakistan, USD Salary)",HR POD Careers,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
AI/NLP Engineer,vFairs,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Software Architect - ML/AI/Gen AI,10Pearls,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Islamabad, Islāmābād, Pakistan"
Sr. AI Engineer,The Plumtree Group Global,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
AI/ML Platform Engineer,Talentive HR,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Data Scientist,JiBe ERP,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Electrical Engineering Lead - AI Training Project,Gramian Consulting,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
First-Person Video AI Trainer (Worldwide),Toloka Annotators,Pakistan,N/A,LinkedIn,Artificial Intelligence,,Pakistan
Machine Learning Engineer,Soliton Technologies,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence,,"Lahore, Punjab, Pakistan"
Product Photographer & Catalog Designer,"Beauty Concept, Sialkot, Pakistan","Beauty Concept,",N/A,Rozee,Graphic Designer,,"Beauty Concept,"
Graphic Designer,"EWDTech, Faisalabad, Pakistan","EWDTech,",N/A,Rozee,Graphic Designer,,"EWDTech,"
Graphic Designer,"Marble Graphics, Karachi, Pakistan","Marble Graphics,",N/A,Rozee,Graphic Designer,,"Marble Graphics,"
Graphic Designer,"DRG Empire, Multan, Pakistan","DRG Empire,",N/A,Rozee,Graphic Designer,,"DRG Empire,"
Graphic Design,"Wajahat Designer, Karachi, Pakistan","Wajahat Designer,",N/A,Rozee,Graphic Designer,,"Wajahat Designer,"
Senior Graphic Designer,"Biocos Internartional, Lahore, Pakistan","Biocos Internartional,",N/A,Rozee,Graphic Designer,,"Biocos Internartional,"
Graphic Designer,"Sial Apparel Mfg, Sialkot, Pakistan","Sial Apparel Mfg,",N/A,Rozee,Graphic Designer,,"Sial Apparel Mfg,"
Senior Graphic Designer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer,,"Naseeb Enterprise Inc,"
Graphic Designer,"Computer House, Lahore, Pakistan","Computer House,",N/A,Rozee,Graphic Designer,,"Computer House,"
Graphic Designer,"Fikrah Systems, Karachi, Pakistan","Fikrah Systems,",N/A,Rozee,Graphic Designer,,"Fikrah Systems,"
Graphic Designer,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer,,"Naseeb Enterprise Inc,"
AI Graphic Designer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer,,"Naseeb Enterprise Inc,"
Logo Designer,"Wajahat Designer, Karachi, Pakistan","Wajahat Designer,",N/A,Rozee,Graphic Designer,,"Wajahat Designer,"
Video Graphic Designer,"Dorange, Karachi, Pakistan","Dorange,",N/A,Rozee,Graphic Designer,,"Dorange,"
Lead Graphic Designer,"The BKRY, Islamabad, Pakistan","The BKRY,",N/A,Rozee,Graphic Designer,,"The BKRY,"
Graphic Designer,"Quick Fly Travels, Lahore, Pakistan","Quick Fly Travels,",N/A,Rozee,Graphic Designer,,"Quick Fly Travels,"
Graphic Designer,"Admonestrate, Peshawar, Pakistan","Admonestrate,",N/A,Rozee,Graphic Designer,,"Admonestrate,"
Senior Graphic Designer,"AFCO, All Cities, Pakistan","AFCO,",N/A,Rozee,Graphic Designer,,"AFCO,"
Graphic Motion Designer Remote,"Naseeb Enterprise Inc, Islamabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer,,"Naseeb Enterprise Inc,"
Graphic Designer - Karachi,Steps Ahead Pakistan,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
Graphic Designer,Destination Pakistan,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer,,"Lahore, Punjab, Pakistan"
Graphic Design - Trainee,Dubizzle Labs,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer,,"Lahore, Punjab, Pakistan"
Graphics Expert,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
Branding Specialist,Descon,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer,,"Lahore, Punjab, Pakistan"
Graphic Designer- Proof,Imprint Now,Pakistan,N/A,LinkedIn,Graphic Designer,,Pakistan
Graphic Designer PAK,Milliman,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
Graphic Designer - The Social Byte,Taraki,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer,,"Lahore, Punjab, Pakistan"
Remaker – Graphic Designer & Proofing & Print Specialist,Imprint Now,Pakistan,N/A,LinkedIn,Graphic Designer,,Pakistan
Graphic Designer,Gorilla Commerce,Pakistan,N/A,LinkedIn,Graphic Designer,,Pakistan
Graphic Designer Job in Karachi | Webnet Pakistan,Webnet Pakistan Pvt Ltd,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
Brand Designer,ibex. Pakistan,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
Graphic Designer,Digital Minds Pakistan,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karachi Division, Sindh, Pakistan"
Graphics & Rendering Specialist,Learntastic,Pakistan,N/A,LinkedIn,Graphic Designer,,Pakistan
"Graphic Designer – Print & Prepress (Onsite, Lahore, PKR Salary)",HR POD Careers,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer,,"Lahore, Punjab, Pakistan"
"Graphic Designer – Brand & Digital (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer,,"Karāchi, Sindh, Pakistan"
